Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
100	:	1654461059.643	  7307.562	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 99 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_99.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_99.err
166	:	1654461074.109	  7293.450	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 165 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_165.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_165.err
50	:	1654461048.669	  7319.637	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 49 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_49.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_49.err
65	:	1654461051.945	  7318.271	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 64 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_64.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_64.err
117	:	1654461063.379	  7313.661	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 116 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_116.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_116.err
64	:	1654461051.739	  7327.634	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 63 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_63.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_63.err
198	:	1654461081.155	  7299.194	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 197 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_197.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_197.err
94	:	1654461058.309	  7323.733	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 93 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_93.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_93.err
16	:	1654461041.268	  7343.330	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 15 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_15.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_15.err
217	:	1654461085.314	  7302.825	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 216 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_216.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_216.err
172	:	1654461075.396	  7315.262	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 171 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_171.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_171.err
142	:	1654461068.823	  7326.773	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 141 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_141.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_141.err
54	:	1654461049.544	  7346.755	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 53 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_53.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_53.err
116	:	1654461063.135	  7340.332	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 115 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_115.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_115.err
115	:	1654461062.924	  7343.546	0	0	0	0	srun --exclusive -n1 -N1 --mem-per-cpu=4000 bash fullsky_north.sh 114 1> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_114.log 2> /n/holylfs05/LABS/finkbeiner_lab/Lab/nmudur/bayestar_edr3/stout/fullsky/postlogs//log_12621743_114.err
